m rec h chrm s f pfix mtfix pkeep fstall fstcb meangen_p1all meangen_p2all meangen_p1cb meangen_2cb
0 2.5e-07 0.01 D 0.01333 0.01 54 1075.37037037037 0.055 0.0546546403323903 0.982883175269695 0.03865404994079 0.00373134344981 0.677710604858182 0.00281490900972727
0 2.5e-07 0.01 H 0.01333 0.01 141 868.86524822695 0.141 0.141 1 0.108353649779655 0.001047943325095 0.76286806005 0.000819432645780142
0 2.5e-07 0.01 D 0.01333 0.1 467 952.948717948718 0.49 0.482898523989973 0.98410255198409 0.381013276342175 0.028304603581805 0.764747291798571 0.0285804152907551
0 2.5e-07 0.01 H 0.01333 0.1 787 727.325728770596 0.79 0.789808004212328 0.999756967357377 0.661659356793605 0.010313630027905 0.835019190030823 0.0102946413272595
0 2.5e-07 0.01 D 0.01333 0.5 954 911.591623036649 1 0.991737502830662 0.991737502830662 0.957300679425 0.09457661945288 0.957300679425 0.09457661945288
0 2.5e-07 0.01 H 0.01333 0.5 997 621.86 1 0.999972316670081 0.999972316670081 0.96443949926 0.05288869316847 0.96443949926 0.05288869316847
0 2.5e-07 0.5 D 0.01333 0.001 12 1005 0.012 0.012 1 0.009014569983245 4.0156665835e-05 0.746115832075 8.58333208333333e-05
0 2.5e-07 0.5 H 0.01333 0.001 22 866.818181818182 0.022 0.022 1 0.0174001767112 3.7806666195e-05 0.789502577699545 1.51514931818182e-06
0 2.5e-07 0.5 D 0.01333 0.01 180 1069.22222222222 0.18 0.18 1 0.133769149646055 0.00091477000509 0.739219331396111 0.00110688881058333
0 2.5e-07 0.5 H 0.01333 0.01 230 867.217391304348 0.23 0.23 1 0.183119476940715 0.00059820001052 0.794248928600652 0.000544623198152174
0 2.5e-07 0.5 D 0.01333 0.1 851 896.112412177986 0.856 0.855635079052085 0.999573690481408 0.697429450102185 0.008609833372905 0.698942667324194 0.00855351637613902
0 2.5e-07 0.5 H 0.01333 0.1 928 732.182795698925 0.93 0.929992023033157 0.999991422616298 0.795009036615815 0.006456630087095 0.793003867351108 0.0064511183798871
0 2.5e-07 0.5 D 0.01333 0.5 997 679.759519038076 1 0.999885327540395 0.999885327540395 0.943999839335 0.054916699822745 0.943999839335 0.054916699822745
0 2.5e-07 0.5 H 0.01333 0.5 996 550.41 1 0.999900337855177 0.999900337855177 0.957971246695 0.041337856843135 0.957971246695 0.041337856843135
0 2.5e-07 0.01 D 0.02667 0.001 4 NA 0.004 0.004 NA 0.0028963399955 0.00027000001773 0.71575333145 0
0 2.5e-07 0.01 H 0.02667 0.001 24 558.333333333333 0.024 0.024 1 0.020169423362715 4.5530001245e-05 0.839182084574583 1.388886875e-06
0 2.5e-07 0.01 D 0.02667 0.01 77 737.792207792208 0.077 0.077 1 0.060315106698665 0.00201347659671 0.77287826864461 0.00217458881201299
0 2.5e-07 0.01 H 0.02667 0.01 246 524.430894308943 0.246 0.246 1 0.21019541668591 0.00056279669169 0.853035542049939 0.00049658540703252
0 2.5e-07 0.01 D 0.02667 0.1 636 654.247648902821 0.638 0.637923858074474 0.999880655289144 0.545157610119025 0.01707659010973 0.849549268667712 0.0171918915356975
0 2.5e-07 0.01 H 0.02667 0.1 953 409.361256544503 0.955 0.954992023033157 0.999991647155138 0.87169724637729 0.00527497336391 0.91256787754288 0.00527179408484817
0 2.5e-07 0.01 D 0.02667 0.5 990 669.747729566095 1 0.998559141949708 0.998559141949708 0.98013780978 0.052905310144325 0.98013780978 0.052905310144325
0 2.5e-07 0.01 H 0.02667 0.5 998 371.34 1 0.99999733377837 0.99999733377837 0.98319746298 0.026177120175415 0.98319746298 0.026177120175415
0 2.5e-07 0.5 D 0.02667 0.001 21 628.095238095238 0.021 0.021 1 0.01796363333233 2.747667027e-05 0.854121428599286 1.11111166666667e-05
0 2.5e-07 0.5 H 0.02667 0.001 37 542.162162162162 0.037 0.037 1 0.032089969965625 2.447999726e-05 0.866921891003784 1.71170959459459e-06
0 2.5e-07 0.5 D 0.02667 0.01 333 656.426426426426 0.333 0.333 1 0.2821378432199 0.00038937334683 0.846553403043454 0.000411821841441441
0 2.5e-07 0.5 H 0.02667 0.01 408 508.725490196078 0.408 0.408 1 0.359224216686605 0.00029937000397 0.880075678140735 0.000352516339276961
0 2.5e-07 0.5 D 0.02667 0.1 977 518.110316649643 0.979 0.978912647083975 0.999910773323774 0.88539281584442 0.004209396812795 0.885008364906456 0.0041997720249285
0 2.5e-07 0.5 H 0.02667 0.1 991 402.26586102719 0.993 0.992992023033157 0.999991966800762 0.923828569764185 0.00310364664608 0.923741389475514 0.00309376634975831
0 2.5e-07 0.5 D 0.02667 0.5 999 389.62 1 0.999996007984032 0.999996007984032 0.97310817271 0.026797163396305 0.97310817271 0.026797163396305
0 2.5e-07 0.5 H 0.02667 0.5 997 314.33 1 0.999996000667555 0.999996000667555 0.979848552855 0.0201982600234 0.979848552855 0.0201982600234
0 2.5e-07 0.01 D 0.05333 0.001 4 NA 0.004 0.004 NA 0.00354835334425 0.000110976664715 0.87863500195 0
0 2.5e-07 0.01 H 0.05333 0.001 40 309.25 0.04 0.04 1 0.036450229989565 1.9070000355e-05 0.9108070830285 1.1250002625e-05
0 2.5e-07 0.01 D 0.05333 0.01 110 485 0.11 0.11 1 0.09353618660124 0.0015739199821 0.844719484062455 0.00159233313181818
0 2.5e-07 0.01 H 0.05333 0.01 419 316.904761904762 0.42 0.419986754309022 0.999968462640528 0.38199188008333 0.000285780004515 0.909211293838619 0.000299611127166667
0 2.5e-07 0.01 D 0.05333 0.1 815 439.926470588235 0.816 0.815986754309022 0.999983767535566 0.74151042641652 0.010837100156775 0.907369783151593 0.0109102371610417
0 2.5e-07 0.01 H 0.05333 0.1 996 224.784353059178 0.997 0.996998666889185 0.999998662877818 0.95519798670815 0.00263714001456 0.958061772021715 0.0026352089740321
0 2.5e-07 0.01 D 0.05333 0.5 999 480.9 1 0.999996007984032 0.999996007984032 0.9903794731 0.02956882351912 0.9903794731 0.02956882351912
0 2.5e-07 0.01 H 0.05333 0.5 998 223.09 1 0.99999733377837 0.99999733377837 0.99178718948 0.013100720128255 0.99178718948 0.013100720128255
0 2.5e-07 0.5 D 0.05333 0.001 43 382.093023255814 0.043 0.043 1 0.039165566643845 1.197666581e-05 0.910644573111744 5.03875627906977e-06
0 2.5e-07 0.5 H 0.05333 0.001 69 297.246376811594 0.069 0.069 1 0.06399118669718 9.436665965e-06 0.927309807219275 7.29468782608696e-06
0 2.5e-07 0.5 D 0.05333 0.01 547 368.939670932358 0.547 0.547 1 0.500706666424195 0.00019236333567 0.915231230512102 0.000190195000146252
0 2.5e-07 0.5 H 0.05333 0.01 639 294.205607476636 0.642 0.641982758747254 0.999973144466127 0.598907446249345 0.000148810000375 0.932804677436379 0.000158078926285047
0 2.5e-07 0.5 D 0.05333 0.1 998 290.45 1 0.999923858074474 0.999923858074474 0.95333414651215 0.002058450047665 0.95333414651215 0.002058450047665
