m rec h chrm s f pfix mtfix pkeep fstall fstcb meangen_p1all meangen_p2all meangen_p1cb meangen_2cb
0 2.5e-07 0.5 X 0.0067 0.1 597 1099.46488294314 0.634 0.622013888935087 0.980861087705031 0.4737178395155 0.01336010187002 0.48319391486224 0.0127462806793691
0 2.5e-07 0.5 A 0.0067 0.5 896 1125.17817371938 0.995 0.966181291862925 0.971036474234096 0.869261182605185 0.131229422882945 0.873075744642864 0.131140056499975
0 2.5e-07 0.5 X 0.0067 0.5 972 886.443987667009 0.99 0.981297657652944 0.991209755204994 0.89886319468095 0.09257714687204 0.90715937511404 0.0925039732974798
0 2.5e-07 0.01 A 0.01333 0.001 2 NA 0.002 0.002 NA 0.00176951002252 8.976333576e-05 0.86146167635 0
0 2.5e-07 0.01 X 0.01333 0.001 7 NA 0.00700000000000001 0.007 NA 0.00546563113499 4.246666704e-05 0.771087622257143 1.20635e-05
0 2.5e-07 0.01 A 0.01333 0.01 57 1055.43859649123 0.0610000000000001 0.058649112336185 0.958419702166016 0.041521733324425 0.003306819964955 0.658762021671639 0.00329655768336066
0 2.5e-07 0.01 X 0.01333 0.01 98 775.714285714286 0.099 0.0989929132006585 0.999928416168267 0.078591950989855 0.00098167107493 0.788165924882677 0.00186204252136364
0 2.5e-07 0.01 A 0.01333 0.1 487 953.183673469388 0.497 0.495352900490489 0.995934904112891 0.39012567379552 0.025977023381265 0.770189249603924 0.0254671630732394
0 2.5e-07 0.01 X 0.01333 0.1 711 700.617110799439 0.713 0.71297352995982 0.999962875118962 0.60231507064566 0.010331661656875 0.841493949962483 0.0108430599972581
0 2.5e-07 0.01 A 0.01333 0.5 934 919.529411764706 0.999 0.98268135096044 0.983665015976416 0.95483200324275 0.099367723334875 0.955756973553554 0.0994001334605355
0 2.5e-07 0.01 X 0.01333 0.5 999 564.824824824825 1 0.999956521781663 0.999956521781663 0.962975812835 0.051404728651885 0.962975812835 0.051404728651885
0 2.5e-07 0.5 A 0.01333 0.001 12 1057.5 0.012 0.012 1 0.00874661667764 2.5629997875e-05 0.724787500727917 4.58333075e-05
0 2.5e-07 0.5 X 0.01333 0.001 18 851.666666666667 0.018 0.018 1 0.014158866578255 3.251555789e-05 0.784548884158056 1.95061519444444e-05
0 2.5e-07 0.5 A 0.01333 0.01 185 1056.32432432432 0.186 0.18597758799525 0.999879505350806 0.139560963498215 0.00089694330295 0.746767330491882 0.000845967832553763
0 2.5e-07 0.5 X 0.01333 0.01 161 737.577639751553 0.161 0.161 1 0.132409786121515 0.000513995555105 0.81974936872472 0.000576811570279503
0 2.5e-07 0.5 A 0.01333 0.1 862 895.760368663594 0.873 0.872459362885887 0.999380713500444 0.711830143487385 0.007769093366615 0.708009755796375 0.00781294007978236
0 2.5e-07 0.5 X 0.01333 0.1 861 699.212050984936 0.863 0.86297352995982 0.999969327879282 0.73956878166731 0.006231902062925 0.743511852083134 0.00630223232058517
0 2.5e-07 0.5 A 0.01333 0.5 999 702.2 1 0.999998666889185 0.999998666889185 0.94201617631 0.059096116882925 0.94201617631 0.059096116882925
