chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.260832025117739 0.798484848484848 4.11449175824176 0.871300592966874 0.669786508455573 0.711495835170859 0.754992906253411 0.818181818181818 0.880408635391182 0.939239332096475 0.979591836734694 1 1
A 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 1e+05 1.0588506808216 3.8488764870025 12.424071082391 0.788567438496377 0.572674155926871 0.610120320738295 0.659384325770181 0.724528767467555 0.796536796536796 0.864422844236509 0.906572472966719 0.92317079067929 0.942213093029419
A 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 50000 0.534502654050311 2.07220835169139 7.49192245557351 0.815635289231759 0.61889400921659 0.643432717622104 0.681988503299979 0.75184144213995 0.825811688311688 0.887882799027544 0.938334017360219 0.955277449822905 0.968008153281696
A 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 25000 0.328179090699285 1.25877515053606 5.29045503500269 0.844248569757296 0.645343137254902 0.684796240746626 0.715597005529891 0.781534557396626 0.853932584269663 0.917175709665828 0.958602136779477 0.972972972972973 0.995360824742268
A 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 10000 0.216189706900531 0.850100357370147 4.19281771674744 0.869822080241547 0.671882624017349 0.713104631217839 0.748237476808905 0.809886887306242 0.878143133462282 0.941662615459407 0.984145519874242 1 1
X 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 1e+05 1.09535075859997 3.83867061785043 12.25687872415 0.788226955684283 0.585042738447077 0.613359683485719 0.648385670057497 0.726713258918221 0.794115489030743 0.863148753326721 0.903279369032794 0.923265530211794 0.94500697805624
X 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 50000 0.575972660357518 1.99611254500844 7.36218454258675 0.816770297946562 0.607177991708243 0.63779869314497 0.677297386158146 0.753800887872655 0.832196052535035 0.889771972626772 0.931378299120235 0.94899337610181 0.9684783491754
X 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 25000 0.340581342947274 1.19021444731224 5.16782772520154 0.848151277140745 0.652503954714408 0.680948051948052 0.720222634508349 0.790548095971825 0.862012987012987 0.918284274361033 0.958041958041958 0.974484974484975 1
X 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 10000 0.227542436532973 0.78669980562725 4.07452681388013 0.876206843178912 0.683519793459552 0.711536126809333 0.75 0.822754949968065 0.889396317967747 0.94301948051948 0.979591836734694 1 1
A 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 1e+05 1.15555474238876 3.93274962742176 12.518143784153 0.783729645787801 0.559979376177762 0.603814461485593 0.645829147646908 0.716844764271272 0.797493923986461 0.85691894312584 0.905110041473678 0.925173005264092 0.946318037844053
A 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 50000 0.603959309133489 2.05175732737208 7.5361381489071 0.811736632277103 0.588168353924071 0.618759487265981 0.666188361168191 0.746377319627506 0.826440131837859 0.889935363539891 0.931032822599088 0.952054011126793 0.965323672714676
A 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 25000 0.37042593676815 1.22036450571287 5.3112406079235 0.842459234720855 0.633719605567831 0.6657703751357 0.699333449136754 0.779467368074963 0.861235421314865 0.917413300378466 0.957545324116343 0.979591836734694 1
A 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 10000 0.250329332552693 0.819578986587183 4.20353056693989 0.869326970067758 0.671694584485282 0.699503437738732 0.738031827327602 0.814360757167361 0.883116883116883 0.936664508512016 0.979591836734694 1 1
X 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 1e+05 1.08742972466484 3.83975476256001 12.0865077362933 0.784148391073356 0.552002134187008 0.610144737417465 0.652352672453175 0.719584446607439 0.795435333896872 0.859475556290843 0.900252525252525 0.923334334377279 0.938205870050195
X 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 50000 0.572041228196627 2.0096015656056 7.21943323242516 0.811646854474779 0.590412275896147 0.626554691342083 0.675811220479808 0.748891774891775 0.825013848710531 0.888695315524584 0.931468531468531 0.952380952380952 0.967007033081532
X 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 25000 0.340781317572438 1.18405039293031 5.08551967709384 0.84556821354879 0.638537871675194 0.6710305257263 0.717703349282297 0.784420775759883 0.857142857142857 0.921324328102987 0.962424242424243 0.979591836734694 1
X 0.5 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 10000 0.228448897217817 0.780738770143412 4.02367137571477 0.874632279048686 0.676577808156756 0.708777429467085 0.748376623376623 0.819921150278293 0.885880077369439 0.943456543456543 0.986301369863014 1 1
A 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 1e+05 1.056647080426 3.85434681000234 12.508676092545 0.791709273465955 0.589761710717095 0.615187543751502 0.652430497416207 0.730873024351285 0.804923476703558 0.862502235143745 0.907802942699512 0.927697014358768 0.940214268799189
