chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 1.96932142857143 3.87760606060606 10.870125 0.692328704476593 0.214910266536858 0.296286927199573 0.437011862624092 0.612097629312276 0.731010019746947 0.827505131646469 0.885607165695661 0.907511995893499 0.921321518709033
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 1.029 2.0274696969697 6.3051875 0.70261932582703 0.149701556416652 0.227120253037802 0.370219974177869 0.612661178698915 0.762930216201244 0.856679279624485 0.913048701920565 0.940455989224462 0.960003962139555
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.63375 1.19913636363636 4.24716666666667 0.710548887332775 0.0972826086956522 0.181818181818182 0.311925946394032 0.600501770956317 0.785393430099313 0.893364389023373 0.941176470588235 0.972972972972973 0.990848434301312
A 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.432 0.804 3.22325 0.716443642744628 0 0.11831955922865 0.287662337662338 0.608854781582054 0.809843284099577 0.909460458240946 0.961298701298701 1 1
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 1.62625 3.93448484848485 11.0405416666667 0.715276396467645 0.277871083718541 0.373012608127501 0.484692962394419 0.648261655271001 0.74548900526954 0.833870648734177 0.893464153943196 0.91567209253893 0.935670774238549
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 0.845642857142857 2.05833333333333 6.39429166666667 0.73129080721139 0.212204802869765 0.320629586279883 0.446587869059779 0.663898339910439 0.776922274094683 0.862611640850844 0.918288527073078 0.947382920110193 0.96
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.508714285714286 1.2395303030303 4.40183333333333 0.745632958588123 0.122328931572629 0.245225796930342 0.434533990979984 0.68367395405013 0.810990615224192 0.889327026595774 0.945184072126221 0.965714285714286 0.980731363160732
X 0.5 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.337857142857143 0.834893939393939 3.36608333333333 0.751799541729113 2.0643209364124e-17 0.13629476584022 0.363136863136863 0.696107213348593 0.836363636363636 0.913751042535446 0.970674486803519 1 1
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.82464285714286 3.90722727272727 10.619875 0.6879341224064 0.19211172639751 0.267491517491518 0.382114049146704 0.597872599009323 0.737541228612657 0.828657314472361 0.882712399397609 0.914286642265461 0.93412616145789
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.95825 2.09590909090909 6.0196875 0.68830102440867 0.14368582403512 0.210440640384832 0.331093287752285 0.57971928892431 0.753372840751481 0.851601406112684 0.910851370851371 0.934462481962482 0.957585943468296
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.585964285714286 1.25286363636364 3.99245833333333 0.690469264440896 0.0991698642266824 0.17017922213133 0.272444387295873 0.545738242340184 0.772222222222222 0.877443420550038 0.941176470588235 0.963818181818182 0.985925139880378
A 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.376071428571429 0.833378787878788 2.97470833333333 0.685714665837345 0 0.0598484848484849 0.181818181818182 0.505920550038197 0.800386847195358 0.898783562764072 0.96 1 1
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.39239285714286 3.94484848484848 11.3994166666667 0.737992190636744 0.283529717889766 0.398480882379187 0.536413063210692 0.678960745137216 0.772741521872552 0.84574739766482 0.892561983471074 0.916948527427451 0.934745524745525
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.720678571428571 2.06824242424242 6.66525 0.755790375155519 0.260651856439758 0.378172510933114 0.540679802125585 0.691167311594141 0.795405352223534 0.878165240173722 0.925140149107091 0.94746936021712 0.957756640855232
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.425428571428571 1.21272727272727 4.55975 0.776421811988904 0.158099092688134 0.306378232240301 0.503168511667254 0.721981630536764 0.831724473491356 0.906945066427825 0.949160546695215 0.970717438312746 1
X 0.01 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.268214285714286 0.806621212121212 3.49810416666667 0.784803572755612 0.0399505256648114 0.181818181818182 0.464632360121082 0.750565224249435 0.861741470437123 0.927738927738928 0.971583011583012 1 1
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.45325 3.91818181818182 11.8266666666667 0.749566538193127 0.322345900522371 0.479959824839027 0.585204746473039 0.683325587169994 0.772349545878958 0.854243010664141 0.897101028138528 0.921121922223303 0.938441132899458
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.759178571428571 2.09615151515152 7.00358333333333 0.767206970501222 0.271279115280764 0.438120818575364 0.57785231297628 0.701266233766234 0.803838383838384 0.878500670341129 0.923376264718435 0.947758227289084 0.967214605067064
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.456392857142857 1.25734848484848 4.858875 0.79064280156572 0.247077922077922 0.400931391840483 0.598602350030921 0.727272727272727 0.835045789591244 0.911960853137324 0.952153110047847 0.970789411111992 0.986342630797161
A 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.307678571428571 0.850939393939394 3.82916666666667 0.809695131568645 0.150649350649351 0.384142748008294 0.59859353941133 0.767111267111267 0.860550202485686 0.931508986880888 0.972972972972973 1 1
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 1e+05 1.23242857142857 3.95589393939394 11.9244166666667 0.764379198176012 0.437504379088499 0.542146220358819 0.622496991131986 0.708054657430771 0.782182150351208 0.853903348504946 0.896934478522645 0.919501894614114 0.935960065732793
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 50000 0.649285714285714 2.0795 7.13422916666667 0.789557402906423 0.437748241341991 0.526429194472904 0.645892779659013 0.733030303030303 0.812464039125432 0.882772646430434 0.924274315026666 0.949314655932303 0.960025974025974
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 25000 0.401964285714286 1.23027272727273 4.99352083333333 0.817045217355262 0.442390102959021 0.545064935064935 0.671845110966664 0.769341185130659 0.84650974025974 0.909090909090909 0.955829165063486 0.975609756097561 0.986301369863014
X 0.5 3.65e-4 0.3 0.0609 1.05e-6 0.1 1549 10000 0.268321428571429 0.813939393939394 3.90616666666667 0.835504461082666 0.229377990430622 0.520313524858979 0.704140134059489 0.80407704086792 0.871041239462292 0.934265734265734 0.979591836734694 1 1
A 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 1e+05 1.61746428571429 3.86539393939394 11.1561666666667 0.714763055335714 0.229506295338017 0.318313590416587 0.425651510352176 0.649285714285714 0.765107370810113 0.839627026955794 0.895176301099288 0.917299732020095 0.940410542551261
A 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 50000 0.829321428571429 2.07213636363636 6.45310416666667 0.725348409556939 0.182914919725943 0.27057771686285 0.414609542778557 0.656689431258397 0.780620249811521 0.863758553274682 0.924795323901136 0.950949701923373 0.964635965110498
A 0.01 3.65e-4 0.3 0.1218 1.05e-6 0.1 1549 25000 0.501107142857143 1.23828787878788 4.35533333333333 0.734215732037841 0.102190382081686 0.205404958677686 0.374703058722638 0.669042512109739 0.803279551327392 0.895926800472255 0.947133536320139 0.96969696969697 0.9877052310042
